t,signal,sigma
0.0,5.84571,0.15
0.2564,5.16674,0.14025
0.5128,4.97136,0.13145
0.7692,4.59188,0.12351
1.0256,3.8904,0.11635
1.2821,3.65094,0.10988
1.5385,3.51547,0.10404
1.7949,3.20752,0.09878
2.0513,2.99945,0.09402
2.3077,2.70993,0.08973
2.5641,2.66833,0.08586
2.8205,2.48213,0.08236
3.0769,2.26557,0.07921
3.3333,2.20406,0.07636
3.5897,2.02401,0.07379
3.8462,1.81214,0.07147
4.1026,1.79449,0.06938
4.359,1.60974,0.06749
4.6154,1.647,0.06578
4.8718,1.50908,0.06425
5.1282,1.43123,0.06286
5.3846,1.33824,0.0616
5.641,1.39756,0.06047
5.8974,1.2634,0.05945
6.1538,1.20145,0.05853
6.4103,1.16462,0.0577
6.6667,1.17773,0.05695
6.9231,1.13412,0.05627
7.1795,1.10596,0.05566
7.4359,1.07914,0.05511
7.6923,1.14746,0.05461
7.9487,0.98602,0.05416
8.2051,0.96022,0.05376
8.4615,0.92601,0.05339
8.7179,0.98562,0.05306
8.9744,0.99759,0.05276
9.2308,0.91859,0.05249
9.4872,0.86853,0.05225
9.7436,0.85857,0.05203
10.0,0.9253,0.05183
