x,counts,err
-5.0,0.2372,0.05
-4.8305,0.22723,0.05
-4.661,0.16686,0.05
-4.4915,0.21187,0.05
-4.322,0.20631,0.05
-4.1525,0.21178,0.05
-3.9831,0.24505,0.05
-3.8136,0.21372,0.05
-3.6441,0.23823,0.05
-3.4746,0.21044,0.05
-3.3051,0.22589,0.05
-3.1356,0.2497,0.05
-2.9661,0.15535,0.05
-2.7966,0.22701,0.05
-2.6271,0.24073,0.05
-2.4576,0.26216,0.05
-2.2881,0.32135,0.05
-2.1186,0.46489,0.05
-1.9492,0.41903,0.05
-1.7797,0.60316,0.05
-1.6102,0.58612,0.05
-1.4407,0.79433,0.05
-1.2712,0.98651,0.05
-1.1017,1.20121,0.05
-0.9322,1.42512,0.05
-0.7627,1.66688,0.05
-0.5932,1.86108,0.05
-0.4237,2.11197,0.05
-0.2542,2.42971,0.05
-0.0847,2.6129,0.05
0.0847,2.76672,0.05
0.2542,2.94333,0.05
0.4237,3.07557,0.05
0.5932,3.213,0.05
0.7627,3.20303,0.05
0.9322,3.17888,0.05
1.1017,3.01518,0.05
1.2712,2.88662,0.05
1.4407,2.71095,0.05
1.6102,2.43462,0.05
1.7797,2.22428,0.05
1.9492,1.91201,0.05
2.1186,1.67339,0.05
2.2881,1.43056,0.05
2.4576,1.1665,0.05
2.6271,1.05057,0.05
2.7966,0.82854,0.05
2.9661,0.70499,0.05
3.1356,0.60649,0.05
3.3051,0.50661,0.05
3.4746,0.4404,0.05
3.6441,0.34302,0.05
3.8136,0.28241,0.05
3.9831,0.2671,0.05
4.1525,0.16345,0.05
4.322,0.15918,0.05
4.4915,0.15425,0.05
4.661,0.16305,0.05
4.8305,0.22801,0.05
5.0,0.15961,0.05
