# NIST StRD nonlinear regression dataset Eckerle4 (public domain), 35 observations, difficulty: higher
# https://www.itl.nist.gov/div898/strd/nls/data/eckerle4.shtml   (circular interference transmittance vs wavelength)
# Model: y = (b1/b2) * exp(-0.5*((x-b3)/b2)^2)
# Start 1: b1=1 b2=10 b3=500
# Start 2: b1=1.5 b2=5 b3=450
# Certified: b1 = 1.5543827178E+00 +/- 1.5408051163E-02
#            b2 = 4.0888321754E+00 +/- 4.6803020753E-02
#            b3 = 4.5154121844E+02 +/- 4.6800518816E-02
#            residual SS = 1.4635887487E-03, residual SD = 6.7629245447E-03, dof = 32
y,x
0.0001575,400
0.0001699,405
0.000235,410
0.0003102,415
0.0004917,420
0.000871,425
0.0017418,430
0.00464,435
0.0065895,436.5
0.0097302,438
0.0149002,439.5
0.023731,441
0.0401683,442.5
0.0712559,444
0.1264458,445.5
0.2073413,447
0.2902366,448.5
0.3445623,450
0.3698049,451.5
0.3668534,453
0.3106727,454.5
0.2078154,456
0.1164354,457.5
0.0616764,459
0.03372,460.5
0.0194023,462
0.0117831,463.5
0.0074357,465
0.0022732,470
0.00088,475
0.0004579,480
0.0002345,485
0.0001586,490
0.0001143,495
7.1e-05,500
