# NIST StRD nonlinear regression dataset Rat43 (public domain), 15 observations, difficulty: higher
# https://www.itl.nist.gov/div898/strd/nls/data/rat43.shtml   (onion bulb dry weight vs growing time (sigmoidal growth))
# Model: y = b1 / ((1 + exp(b2 - b3*x))^(1/b4))
# Start 1: b1=100 b2=10 b3=1 b4=1
# Start 2: b1=700 b2=5 b3=0.75 b4=1.3
# Certified: b1 = 6.9964151270E+02 +/- 1.6302297817E+01
#            b2 = 5.2771253025E+00 +/- 2.0828735829E+00
#            b3 = 7.5962938329E-01 +/- 1.9566123451E-01
#            b4 = 1.2792483859E+00 +/- 6.8761936385E-01
#            residual SS = 8.7864049080E+03, residual SD = 2.8262414662E+01, dof = 9
y,x
16.08,1
33.83,2
65.8,3
97.2,4
191.55,5
326.2,6
386.87,7
520.53,8
590.03,9
651.92,10
724.93,11
699.56,12
689.96,13
637.56,14
717.41,15
