# NIST StRD nonlinear regression dataset Thurber (public domain), 37 observations, difficulty: higher
# https://www.itl.nist.gov/div898/strd/nls/data/thurber.shtml   (semiconductor electron mobility vs log(density))
# Model: y = (b1 + b2*x + b3*x^2 + b4*x^3) / (1 + b5*x + b6*x^2 + b7*x^3)
# Start 1: b1=1000 b2=1000 b3=400 b4=40 b5=0.7 b6=0.3 b7=0.03
# Start 2: b1=1300 b2=1500 b3=500 b4=75 b5=1 b6=0.4 b7=0.05
# Certified: b1 = 1.2881396800E+03 +/- 4.6647963344E+00
#            b2 = 1.4910792535E+03 +/- 3.9571156086E+01
#            b3 = 5.8323836877E+02 +/- 2.8698696102E+01
#            b4 = 7.5416644291E+01 +/- 5.5675370270E+00
#            b5 = 9.6629502864E-01 +/- 3.1333340687E-02
#            b6 = 3.9797285797E-01 +/- 1.4984928198E-02
#            b7 = 4.9727297349E-02 +/- 6.5842344623E-03
#            residual SS = 5.6427082397E+03, residual SD = 1.3714600784E+01, dof = 30
y,x
80.574,-3.067
84.248,-2.981
87.264,-2.921
87.195,-2.912
89.076,-2.84
89.608,-2.797
89.868,-2.702
90.101,-2.699
92.405,-2.633
95.854,-2.481
100.696,-2.363
101.06,-2.322
401.672,-1.501
390.724,-1.46
567.534,-1.274
635.316,-1.212
733.054,-1.1
759.087,-1.046
894.206,-0.915
990.785,-0.714
1090.109,-0.566
1080.914,-0.545
1122.643,-0.4
1178.351,-0.309
1260.531,-0.109
1273.514,-0.103
1288.339,0.01
1327.543,0.119
1353.863,0.377
1414.509,0.79
1425.208,0.963
1421.384,1.006
1442.962,1.115
1464.35,1.572
1468.705,1.841
1447.894,2.047
1457.628,2.2
